MFL_Code,Facility_Name,County,SubCounty,Owner,Latitude,Longitude
15260,Muskut Health Centre,Elgeyo Marakwet,Keiyo South,Ministry of Health,0.674319,35.501897
22409,Kawalase Dispensary,Turkana,Turkana Central,Ministry of Health,3.1468966,35.5612327
15915,Kakamega County General Hospital,Kakamega,Lurambi,Ministry of Health,0.2743,34.7606
13506,Bonde Dispensary,Kisumu,Nyakach,Ministry of Health,-0.3143,34.8863
17431,AIC Kalamba Dispensary,Makueni,Makueni,Other Faith Based,-1.8665,37.5128
13101,Mukuru Mmm Clinic,Nairobi,Embakasi South,Kenya Episcopal Conference-Catholic Secretariat,-1.3243,36.8905
12741,Songa Health Centre,Marsabit,Saku,Ministry of Health,2.344972,37.999111
13830,Muchebe Dispensary,Migori,Kuria West,Ministry of Health,-1.19747,34.49484
13770,Manyuanda Sub county Hospital,Kisumu,Seme,Ministry of Health,-0.1414,34.4695
10750,Mugunda Mission Dispensary,Nyeri,Kieni West,Kenya Episcopal Conference-Catholic Secretariat,-0.1386,36.7138
15520,Salama Health Centre (Laikipia West),Laikipia,Laikipia West,Ministry of Health,0.255549,36.225048
15478,Railways Dispensary,Uasin Gishu,Soy,Ministry of Health,0.516,35.2776
14699,Kapedo Sub County Hospital,Turkana,Turkana East,Ministry of Health,0.865298,36.452774
15197,Mogorwa Health Centre,Baringo,Baringo Central,Ministry of Health,0.30883,35.71667
12015,Family Care Medical Centre(Meru),Meru,Imenti North,Private Practice,0.045136,37.652855
11547,Makanzani Dispensary,Kilifi,Rabai,Ministry of Health,-3.8694,39.606
12241,Katilini Health Centre,Kitui,Kitui South,Ministry of Health,-2.0529,37.9852
13961,Ogam Dispensary,Siaya,Bondo,Ministry of Health,-0.0263,34.1247
13581,Gobei  Health Centre,Siaya,Bondo,Ministry of Health,-0.0902,34.2905
15964,Lugari Forest Dispensary,Kakamega,Lugari,Ministry of Health,0.281349,34.751401
11888,Waa Dispensary,Kwale,Matuga,Ministry of Health,-4.1735,39.6024
10289,G K Prisons (Thika),Garissa,Garissa,Ministry of Health,-1.0393,37.078
14106,St Elizabeth Chiga Health Centre,Kisumu,Kisumu East,Kenya Episcopal Conference-Catholic Secretariat,-0.0989,34.8446
10349,Immaculate Heart of Mary Hosp.,Kiambu,Thika Town,Kenya Episcopal Conference-Catholic Secretariat,-1.0698,37.2341
16116,Shiraha Health Centre,Kakamega,Butere,Ministry of Health,0.19682,34.57071
15669,St Ursula Dispensary,Trans Nzoia,Kiminini,Other Faith Based,1.015835,35.003314
13209,St Joseph W Dispensary (Westlands),Nairobi,Westlands,Kenya Episcopal Conference-Catholic Secretariat,-1.271,36.7391
17116,Luuya Dispensary,Bungoma,Kabuchai,Ministry of Health,0.578148,34.559255
